iter	Logloss
0	0.614750159
1	0.5542558735
2	0.5051489778
3	0.4676984791
4	0.4399500098
5	0.4180195318
6	0.4007963801
7	0.3872106111
8	0.3765790892
9	0.3679672857
10	0.3609602055
11	0.3546717683
12	0.3500449288
13	0.346217369
14	0.3430367595
15	0.3405098322
16	0.3378788097
17	0.3360760742
18	0.3342916374
19	0.3327585952
20	0.3314145701
21	0.3302936359
22	0.3293334206
23	0.3286557164
24	0.3278495321
25	0.3270574163
26	0.3265669331
27	0.3259484913
28	0.3254756281
29	0.3251015019
30	0.3246396751
31	0.324340148
32	0.3240474927
33	0.3237789871
34	0.3235346625
35	0.3231842102
36	0.3229483473
37	0.3227665551
38	0.32249274
39	0.3222687507
40	0.3220972185
41	0.3219455661
42	0.3218163445
43	0.3216693
44	0.3215009526
45	0.3213810495
46	0.3212530929
47	0.3211455204
48	0.321044629
49	0.320875458
50	0.3207250823
51	0.3206373981
52	0.3205121692
53	0.3204085276
54	0.3203405818
55	0.3202723508
56	0.3201869557
57	0.3200954407
58	0.3199908397
59	0.3199151383
60	0.3198416414
61	0.319768632
62	0.3196747286
63	0.319598636
64	0.3195310551
65	0.3194683679
66	0.3193639883
67	0.3192783562
68	0.3192161504
69	0.3191609577
70	0.3190842734
71	0.3190097928
72	0.3189568851
73	0.3189086681
74	0.3188567951
75	0.3188077396
76	0.3187414484
77	0.318703362
78	0.3186422907
79	0.3185891068
80	0.3185415575
81	0.3185008711
82	0.3184585791
83	0.3184080706
84	0.3183689218
85	0.318320028
86	0.3182407581
87	0.3181918568
88	0.3181475463
89	0.3181120901
90	0.3180538307
91	0.3180010646
92	0.3179636323
93	0.3179131902
94	0.3178859222
95	0.3178602379
96	0.3178002057
97	0.3177674263
98	0.3177232441
99	0.317688342
100	0.3176497103
101	0.317595384
102	0.3175561712
103	0.3175145153
104	0.3174576837
105	0.3174077723
106	0.3173641777
107	0.3173187384
108	0.3172783564
109	0.317220483
110	0.3171706774
111	0.3171238102
112	0.3170651218
113	0.3170108388
114	0.3169612024
115	0.3169157512
116	0.3168784104
117	0.3168265344
118	0.3167935047
119	0.3167480977
120	0.3167010673
121	0.3166561012
122	0.3166072909
123	0.316557196
124	0.3165241431
125	0.316507142
126	0.3164718887
127	0.3164308888
128	0.3163886374
129	0.3163308805
130	0.3162860766
131	0.3162331884
132	0.316196526
133	0.3161554318
134	0.3161199039
135	0.3160839151
136	0.3160454241
137	0.3160001454
138	0.3159635513
139	0.3159127113
140	0.3158772029
141	0.315841192
142	0.3158038044
143	0.3157724473
144	0.3157380423
145	0.3156921007
146	0.3156505037
147	0.315605818
148	0.3155689165
149	0.3155279214
150	0.3154778359
151	0.3154415468
152	0.3154040207
153	0.3153588126
154	0.3153185836
155	0.3152807394
156	0.3152241334
157	0.3151768065
158	0.3151415157
159	0.3150977084
160	0.3150600811
161	0.3150136181
162	0.3149825019
163	0.3149421098
164	0.3148965289
165	0.3148634837
166	0.3148241989
167	0.3147805638
168	0.314747999
169	0.3147081826
170	0.3146758006
171	0.3146477049
172	0.3146117249
173	0.3145707405
174	0.3145365032
175	0.3144879783
176	0.3144453279
177	0.3144028781
178	0.314362658
179	0.314322752
180	0.314290198
181	0.314252292
182	0.3142061543
183	0.3141856741
184	0.3141581118
185	0.3141279134
186	0.3140922677
187	0.3140504522
188	0.3140118152
189	0.313966804
190	0.3139308901
191	0.3138909687
192	0.3138642445
193	0.3138360635
194	0.3138020958
195	0.3137779554
196	0.3137478411
197	0.3137171491
198	0.3136740972
199	0.3136428383
200	0.3136115072
201	0.3135894014
202	0.3135655045
203	0.3135407914
204	0.3135097682
205	0.3134817673
206	0.3134375121
207	0.3134080785
208	0.3134016965
209	0.3133617192
210	0.313320081
211	0.313294501
212	0.3132464355
213	0.3132072048
214	0.3131801081
215	0.313147665
216	0.3131144474
217	0.3130875072
218	0.3130451961
219	0.3130119074
220	0.312966809
221	0.3129329397
222	0.3128950599
223	0.312865964
224	0.3128392978
225	0.3127946777
226	0.3127529953
227	0.3127114233
228	0.3126803444
229	0.3126463592
230	0.3126225048
231	0.3125786822
232	0.3125503167
233	0.3125179286
234	0.3124777604
235	0.312444687
236	0.3124014719
237	0.3123788224
238	0.3123525235
239	0.3123204659
240	0.312293509
241	0.3122480231
242	0.3122150994
243	0.3121777151
244	0.3121409033
245	0.3121151521
246	0.3120870663
247	0.3120446893
248	0.312002624
249	0.3119616309
250	0.3119346934
251	0.3119060852
252	0.3118754014
253	0.3118511624
254	0.3118183925
255	0.3117867754
256	0.311750395
257	0.3117288369
258	0.3116920494
259	0.3116672124
260	0.31163908
261	0.3115999406
262	0.3115764316
263	0.3115508079
264	0.3115297332
265	0.3114958041
266	0.3114634626
267	0.3114333079
268	0.3114116787
269	0.3113834426
270	0.3113580707
271	0.31131825
272	0.3112754511
273	0.3112547274
274	0.3112273842
